ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands
29431,simple,Ul199282,43033591596.0,Cub Cadet Ultima ZT1 – 50” Fabricated Deck 25HP V-Twin Kohler Zero Turn Mower,0,0,visible,,"The Cub Cadet Ultima ZT1 50” Zero Turn Riding Mower is built for power, precision, and comfort. Equipped with a 25HP Kohler 7000 Series V-Twin OHV engine, this high-performance mower delivers smooth operation and reliable power to handle tough mowing conditions with ease.
\n
\nIts 50-inch fully fabricated AeroForce™ cutting deck ensures a best-in-class cut, reducing clumps and providing finer, more even clippings. The Dual Hydro-Gear™ EZT 2200 transmission offers responsive and effortless control, allowing you to maneuver smoothly around obstacles while maintaining a consistent, professional-quality cut.
\n
\nDesigned for ultimate comfort, the adjustable 20-inch high-back seat with advanced polymer seat isolators absorbs vibrations for a smoother, quieter ride, even on rough terrain. The Synchro-Steer™ technology provides full four-wheel control, improving stability on slopes up to 20 degrees. Dual-LED headlights ensure superior visibility, so you can mow any time of day.
\n
\nWith a rugged 2"" x 2"" tubular steel frame, automotive-grade corrosion resistance, and Turf Master® 4-ply tires, this mower is built to last. Backed by a 3-year no-hour-limit warranty and a lifetime limited frame and deck shell warranty, the Cub Cadet Ultima ZT1 is the ultimate choice for homeowners who demand durability, performance, and comfort.
\n
\nKey Features:
\n✅ 25HP Kohler 7000 Series V-Twin OHV Engine – Powerful, smooth, and quiet operation
\n✅ 50-Inch AeroForce™ Fabricated Deck – Delivers a superior cut with minimal clumps
\n✅ Dual Hydro-Gear™ EZT 2200 Transmission – Provides precise and effortless zero-turn maneuverability
\n✅ Synchro-Steer™ Technology – Offers full four-wheel control and enhanced stability on slopes up to 20°
\n✅ Fully Adjustable 20” High-Back Seat with Seat Isolators – Reduces vibrations for all-day comfort
\n✅ Tilted Steering Column &amp; Soft-Touch Steering Wheel – Provides ergonomic comfort and easy handling
\n✅ Dual-LED Headlights – Ensures superior visibility for mowing in low-light conditions
\n✅ 13” Front / 20” Rear Turf Master® 4-Ply Tires – Reduces turf damage and improves traction
\n✅ Heavy-Duty 2” x 2” Tubular Steel Frame – Built for durability and corrosion resistance
\n✅ One-Hand Operation – Mow with precision using the Synchro-Steer™ technology
\n✅ Versatile Compatibility – Supports multiple attachments and accessories
\n✅ 3-Year No Hour Limit Warranty – Plus a Lifetime Limited Frame &amp; Deck Shell Warranty
\n
\nTackle any terrain with confidence, power, and precision using the Cub Cadet Ultima ZT1 50"" Zero Turn Riding Mower – engineered for the perfect cut every time!",,,taxable,,1,,,0,0,,,,,1,,,,Riding Lawn Mowers,,,"https://flobay.com/wp-content/uploads/2025/08/product-1-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-1-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-1-image-3.png, https://flobay.com/wp-content/uploads/2025/08/product-1-image-4.png",,,,,,,,,0,
29432,simple,Tb210029,43033599868.0,Troy-Bilt Bronco 42E XP – 42” 56V MAX Lithium-Ion Electric Riding Lawn Tractor,0,0,visible,,"Say goodbye to gas and oil changes with the Troy-Bilt Bronco 42E XP Electric Riding Lawn Tractor. Powered by a 56V MAX 60Ah lithium-ion battery, this cordless mower delivers quiet, powerful, and emission-free performance—perfect for homeowners seeking convenience and efficiency.
\n
\nWith up to 1.5 hours of runtime per charge, this battery-powered mower can cover up to 2 acres with ease. The 42-inch twin-blade cutting deck ensures a clean, even cut, while 12 adjustable cutting heights (1” to 4”) let you customize your mowing experience. Dual anti-scalp wheels protect your lawn from damage, and the electric brushless motor provides smooth foot-pedal speed control for effortless operation.
\n
\nBuilt with rugged durability, the cast iron front axle enhances stability, and the Step-Thru frame allows for easy access on and off the mower. The adjustable high-back seat and cruise control offer maximum comfort, letting you mow at your own pace. Additionally, it runs up to 65% quieter than gas-powered mowers, reducing noise without sacrificing performance.
\n
\nDesigned for versatility, the rear hitch allows for quick attachment of tow-behind accessories like dump carts, aerators, and spreaders (sold separately). Backed by Troy-Bilt’s trusted reliability, this eco-friendly electric riding mower is the future of lawn care.
\n
\nKey Features:
\n✅ 56V MAX 60Ah Lithium-Ion Battery – No gas, no fumes, no maintenance hassle
\n✅ Mows Up to 2 Acres per Charge – Provides up to 1.5 hours of runtime
\n✅ 42” Twin-Blade Cutting Deck – Ensures a clean, even cut with dual anti-scalp wheels
\n✅ 12 Adjustable Cutting Heights (1” – 4”) – Customize your cut for a pristine lawn
\n✅ 65% Quieter Than Gas Mowers – Reduces noise without compromising power
\n✅ Electric Brushless Motor – Provides smooth speed control with a foot pedal
\n✅ Step-Thru Frame Design – Allows easy on-and-off access
\n✅ Durable Cast Iron Front Axle – Built for stability and longevity
\n✅ Adjustable High-Back Seat – Ensures a comfortable mowing experience
\n✅ Cruise Control – Lets you mow at your preferred pace
\n✅ Rear Hitch Compatibility – Easily attach tow-behind accessories (sold separately)
\n✅ Eco-Friendly &amp; Low Maintenance – No gas, oil, or engine tune-ups required
\n
\nThe Troy-Bilt Bronco 42E XP Electric Riding Mower is the perfect blend of performance, comfort, and sustainability—giving you a powerful yet hassle-free mowing experience!",,,taxable,,1,,,0,0,,,,,1,,,,Riding Lawn Mowers,,,"https://flobay.com/wp-content/uploads/2025/08/product-2-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-2-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-2-image-3.png, https://flobay.com/wp-content/uploads/2025/08/product-2-image-4.png",,,,,,,,,0,
29433,simple,SE43211,21038753140.0,"Toro Titan Max 60"" IronForged Deck 26HP V-Twin Gas Dual Hydrostatic Zero Turn Riding Mower",0,0,visible,,"Take on the toughest mowing jobs with the Toro Titan Max 60” Zero Turn Riding Mower—a powerhouse built for those who demand commercial-grade performance and durability. Designed with professional contractors in mind, this high-performance mower delivers precision cutting, unmatched power, and superior durability, making it the ultimate machine for large-acreage homeowners.
\n
\nPowered by a 26HP Kohler 7000 Series V-Twin engine with a canister air cleaner, the Titan Max ensures maximum power, efficiency, and reliability. Its dual hydrostatic transmission provides effortless maneuverability and smooth control, while the IronForged™ 60-inch cutting deck—crafted from high-strength, 10-gauge steel with a bull nose reinforced leading edge—guarantees exceptional durability and a pristine cut every time.
\n
\nBuilt on a rugged tubular steel frame, the Titan Max is designed to tackle rough terrain while providing ultimate comfort with a premium high-back seat and an easy step-through design for hassle-free access. Whether you’re maintaining a massive estate, a commercial property, or an expansive farm, this zero-turn mower gives you the power and efficiency to get the job done faster and easier.
\n
\nKey Features:
\n✅ 26HP Kohler 7000 Series V-Twin Engine – Delivers commercial-grade power and performance with a canister air cleaner for enhanced durability
\n✅ 60” IronForged™ Cutting Deck – Built from high-strength, 10-gauge steel with a bull nose reinforced leading edge for maximum durability
\n✅ Dual Hydrostatic Transmission – Ensures precise control, effortless maneuverability, and smooth acceleration
\n✅ Heavy-Duty Tubular Steel Frame – Provides exceptional strength and durability to handle rough terrain
\n✅ Zero-Turn Capability – Enables fast, efficient mowing with superior agility
\n✅ Comfortable High-Back Seat – Enhances comfort during long mowing sessions
\n✅ Step-Through Design – Allows for easy on-and-off access
\n✅ Built for Large Properties – Designed for homeowners with serious acreage who need professional-level mowing power
\n✅ Made in the USA – Engineered and built with 100 years of expertise and innovation
\n
\nWith its powerful engine, rugged frame, and commercial-grade features, the Toro Titan Max 60” Zero Turn Riding Mower is the ultimate choice for those who need to dominate their lawn care tasks with ease and efficiency.",,,taxable,,1,,,0,0,,,,,1,,,,Riding Lawn Mowers,,,"https://flobay.com/wp-content/uploads/2025/08/product-3-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-3-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-3-image-3.png, https://flobay.com/wp-content/uploads/2025/08/product-3-image-4.png, https://flobay.com/wp-content/uploads/2025/08/product-3-image-5.png, https://flobay.com/wp-content/uploads/2025/08/product-3-image-6.png",,,,,,,,,0,
29434,simple,st288911,886661495702.0,Stihl RZ 560 K Commercial 60″ Zero Turn Lawn Mower,0,0,visible,,"The Stihl RZ 560 K Commercial 60” Zero Turn Lawn Mower is built for professionals and property owners who demand precision, power, and durability. Whether you’re maintaining a farm, ranch, or commercial property, this high-performance mower delivers exceptional cutting efficiency and a smooth ride.
\n
\nEquipped with a powerful Briggs &amp; Stratton engine and a 60-inch professional-grade fabricated mowing deck, the Stihl RZ 560 K ensures consistent, high-quality cuts across all types of terrain. The commercial-grade Hydro-Gear® ZT-3400 transaxles provide smooth operation, a top speed of 10 mph, and a reverse speed of 5 mph, allowing you to mow large areas efficiently.
\n
\nDesigned for comfort and convenience, the RZ 560 K features an advanced four-wheel suspension system with deck height compensation, ensuring a stable, even cut while minimizing vibrations. The flip-up floor pan allows for easy maintenance, while the dual-function hour meter helps track operation time for better service management.
\n
\nKey Features:
\n✅ 60” Professional-Grade Fabricated Deck – Delivers superior durability and precision cutting
\n✅ Briggs &amp; Stratton Engine – Provides reliable, high-performance power
\n✅ Commercial-Grade Hydro-Gear® ZT-3400 Transaxles – Ensures smooth handling and efficient mowing with a top speed of 10 mph
\n✅ Advanced Four-Wheel Suspension System – Includes independent front suspension and rear shock absorbers for a comfortable ride
\n✅ Large Fuel Capacity – Reduces downtime by allowing longer mowing sessions
\n✅ Flip-Up Floor Pan – Provides easy access for maintenance and cleaning
\n✅ Dual USB-A Ports – Conveniently charge devices while you work
\n✅ Dual-Function Hour Meter – Tracks mower operation time for optimal servicing
\n✅ Trailer Hitch – Enhances versatility with towing capability
\n
\nBuilt to tackle the toughest jobs with ease, the Stihl RZ 560 K Zero Turn Mower offers commercial-level durability, comfort, and efficiency, making it an ideal choice for professionals and large-property owners alike.",,,taxable,,1,,,0,0,,,,,1,,,,Riding Lawn Mowers,,,"https://flobay.com/wp-content/uploads/2025/08/product-4-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-4-image-2.png",,,,,,,,,0,
29435,simple,Ry221012,46396035745.0,Ryobi 48V HP Brushless 54-inch 115 Ah Battery Electric Riding Zero Turn Mower,0,0,visible,,"The Ryobi 48V HP Brushless 54-inch Electric Zero Turn Mower is the ultimate eco-friendly and low-maintenance solution for maintaining large lawns with powerful performance and quiet operation. Designed with five high-powered brushless motors, this battery-powered riding mower eliminates the hassle of gas, fumes, belts, spark plugs, and filters—simply charge and go.
\n
\nWith a 115 Ah lead-acid battery, this mower provides up to 2.5 hours of runtime, covering up to 3.5 acres on a single charge. The 54-inch, 10-gauge heavy-duty steel deck with three precision-cut steel blades ensures exceptional cutting performance, while the 12-position deck adjustment and adjustable cutting height (1.5 in. to 4.5 in.) give you complete control over your lawn’s appearance.
\n
\nDesigned for maximum comfort and convenience, the Ryobi 48V Zero Turn Mower features armrests, ergonomic control handles, and two cup holders. The intuitive control panel offers slow speed and slow blade options, reverse mowing, LED headlights, a battery gauge, and even a USB charging port for added convenience.
\n
\nKey Features:
\n✅ Battery-Powered Efficiency – No gas, no fumes, no maintenance—just charge and go
\n✅ Five High-Powered Brushless Motors – Delivers quiet yet powerful cutting performance
\n✅ Up to 3.5 Acres per Charge – 115 Ah battery provides 2.5 hours of runtime
\n✅ Heavy-Duty 54-inch Steel Deck – Built with 10-gauge steel for durability
\n✅ Three Precision-Cut Steel Blades – Ensures a clean and efficient cut
\n✅ 12-Position Deck Adjustment – Allows for precise height control (1.5 in. to 4.5 in.)
\n✅ Comfortable &amp; Ergonomic Design – Includes armrests, ergonomic control handles, and dual cup holders
\n✅ Advanced Control Panel – Features slow speed, slow blade, reverse mow, LED headlights, USB charging port, and battery gauge
\n✅ Quiet Operation – No engine noise, allowing for a more enjoyable mowing experience
\n✅ Side Discharge &amp; Mulching Capable – Offers versatile mowing options
\n
\nThis Ryobi 48V Zero Turn Mower is a powerful, eco-friendly, and low-maintenance solution for those looking to upgrade to a quiet, efficient, and comfortable mowing experience.",,,taxable,,1,,,0,0,,,,,1,,,,Riding Lawn Mowers,,,"https://flobay.com/wp-content/uploads/2025/08/product-5-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-5-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-5-image-3.png, https://flobay.com/wp-content/uploads/2025/08/product-5-image-4.png, https://flobay.com/wp-content/uploads/2025/08/product-5-image-5.png",,,,,,,,,0,
29436,simple,Rb312900,46396033291.0,RYOBI 48V 42-inch 75 Ah Battery Electric Riding Zero Turn Mower,0,0,visible,,"Upgrade your mowing experience with the RYOBI 48V 42-inch Zero Turn Electric Riding Mower, designed for power, efficiency, and eco-friendly performance. Powered by 75 Ah batteries and four high-powered brushless motors, this mower delivers exceptional cutting performance while eliminating the need for gas, oil, and maintenance. With the ability to cut up to 2.5 acres on a single charge, this battery-operated mower offers a quiet, powerful, and low-maintenance solution for your lawn care needs.
\n
\nThe 42-inch heavy-duty steel deck is equipped with two precision-cut steel blades, ensuring a clean and consistent cut every time. The 12-position manual deck adjustment lets you customize your cutting height between 1.5 inches to 4.5 inches, while the zero-turn maneuverability allows for smooth and precise navigation around obstacles.
\n
\nThe advanced control panel provides easy access to essential functions, including blade activation, slow speed mode, LED headlights, and a battery level display. The rear charging port ensures effortless recharging with a standard 120V outlet, making it simple to power up and get back to work.
\n
\nKey Features:
\n✅ Battery-Powered Efficiency – No gas, no fumes, no maintenance—just charge and go
\n✅ Four High-Powered Brushless Motors – Provides quiet yet powerful cutting performance
\n✅ Cuts Up to 2.5 Acres per Charge – 75 Ah battery ensures extended runtime
\n✅ 42-inch Heavy-Duty Steel Deck – Built for durability and long-lasting use
\n✅ Two Precision-Cut Steel Blades – Delivers a clean and consistent cut
\n✅ 12-Position Deck Adjustment – Adjustable cutting height from 1.5 in. to 4.5 in.
\n✅ Zero-Turn Technology – Allows for easy and precise maneuvering
\n✅ Side Discharge, Mulching &amp; Bagging Capable – Versatile cutting options (bagger accessory available online)
\n✅ Advanced Control Panel – Includes battery level indicator, unit hour meter, USB charging port, LED headlights, and slow speed function
\n✅ Low Maintenance – No belts, spark plugs, or filters required
\n✅ Easy Access Rear Charging Port – Conveniently charges through a standard 120V outlet
\n
\nEnjoy a hassle-free, eco-friendly, and powerful mowing experience with the RYOBI 48V 42-inch Zero Turn Electric Riding Mower—the perfect blend of convenience, durability, and cutting-edge technology for your lawn care needs!",,,taxable,,1,,,0,0,,,,,1,,,,Riding Lawn Mowers,,,"https://flobay.com/wp-content/uploads/2025/08/product-6-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-6-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-6-image-3.jpg, https://flobay.com/wp-content/uploads/2025/08/product-6-image-4.png",,,,,,,,,0,
29437,simple,TR55712,21038663029.0,Toro TimeMaster 21199 30 in. 223 cc Gas Self-Propelled Lawn Mower,0,0,visible,,"Tackle large yards with ease using the Toro TimeMaster 21199 30-inch Gas Self-Propelled Lawn Mower. Designed for speed, power, and efficiency, this mower features a 223 cc Briggs &amp; Stratton OHV engine, allowing you to cut a wider path in fewer passes. The Dual-Force™ cutting system and Toro Atomic blades deliver a superior mulch, ensuring a lush, healthy lawn.
\n
\nWith Personal Pace® technology, you control the mowing speed for a comfortable and efficient mowing experience. The Spin-Stop™ feature lets you step away without restarting, while the Quick Stow Storage Handle allows for compact storage and adjustable height positions. The washout port makes cleaning the undercarriage quick and easy.
\n
\nKey Features:
\n✅ Powerful 223 cc Briggs &amp; Stratton OHV Engine – Built for high-performance cutting
\n✅ 30-inch Cutting Width – Covers more ground in less time
\n✅ Dual-Force™ Cutting System with Atomic Blades – Produces a fine mulch for a healthier lawn
\n✅ Personal Pace® Self-Propelled System – Automatically adjusts to your walking speed
\n✅ Spin-Stop™ Blade Stop System – Stops the blade without shutting off the engine, so you can step away when needed
\n✅ 2-Point Height-of-Cut Adjustment – Easily adjust deck height for customized mowing
\n✅ Quick Stow Storage Handle – Two storage positions for compact and convenient storage
\n✅ Washout Port – Easily clean the underside of the mower deck with a garden hose
\n✅ 3-Year Full Warranty &amp; 3-Year Guaranteed-to-Start Warranty – Reliable performance backed by Toro
\n
\n🌱 Get the job done faster with the Toro TimeMaster 30-inch Lawn Mower—the perfect choice for large yards and busy schedules!",,,taxable,,1,,,0,0,,,,,1,,,,Walk-Behind Lawn Mowers,,,"https://flobay.com/wp-content/uploads/2025/08/product-7-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-7-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-7-image-3.png, https://flobay.com/wp-content/uploads/2025/08/product-7-image-4.png",,,,,,,,,0,
29438,simple,TR51120,43033574483.0,"Troy-Bilt 3-N-1 Self-Propelled RWD Gas Lawn Mower, 195cc Engine",0,0,visible,,"Tackle your lawn with ease using the Troy-Bilt 3-N-1 Self-Propelled RWD Gas Lawn Mower. Equipped with a 195cc Troy-Bilt engine, this mower delivers powerful performance, easy starting, and reduced noise for an efficient mowing experience. The 28-inch steel deck and premium InStep rear-wheel drive provide excellent traction on rough terrain, adjusting to your walking pace to help you get the job done. Choose from side discharge, mulch, or rear bag to dispose of clippings, and enjoy the convenience of the single lever height adjustment.
\n
\nBacked by a 3-year limited warranty, the Troy-Bilt TBWC28T is a reliable solution to keep your yard looking great.
\n
\nKey Features:
\n✅ 195cc Troy-Bilt OHV Engine – Powerful performance, easy starting, and quieter operation
\n✅ 28-inch Steel Deck – Wide cutting path for fast and efficient mowing
\n✅ InStep Variable Speed Rear-Wheel Drive – Adjusts to your walking pace, providing superior traction on uneven ground
\n✅ 3-N-1 Functionality – Side discharge, mulching, or rear bagging options for grass clippings
\n✅ 8"" Front &amp; 13"" Rear Wheels – Enhanced maneuverability and traction
\n✅ Single Lever Height Adjustment – Quick and easy deck height changes
\n✅ Deck Wash Port – Clean the deck easily with your garden hose
\n✅ Fully Assembled – Ready to use right out of the box
\n✅ 3-Year Limited Warranty – Peace of mind with a reliable warranty
\n
\n🌱 Make yard work easier and more efficient with the Troy-Bilt Self-Propelled RWD Lawn Mower—your perfect tool for tackling any lawn!",,,taxable,,1,,,0,0,,,,,1,,,,Walk-Behind Lawn Mowers,,,"https://flobay.com/wp-content/uploads/2025/08/product-8-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-8-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-8-image-3.png, https://flobay.com/wp-content/uploads/2025/08/product-8-image-4.png, https://flobay.com/wp-content/uploads/2025/08/product-8-image-5.png",,,,,,,,,0,
29453,simple,YC33278,850045570101.0,Yoshino B4000 SST New Solid-State Portable Power Station,0,0,visible,,"The Yoshino B4000 SST is a next-generation solid-state portable power station, offering 2,611Wh capacity and 4,000W continuous power (6,000W peak). Weighing just 53.6 lbs, this powerhouse delivers reliable, portable power for any adventure or backup need. Whether for outdoor camping, home backup, power tools, or off-grid use, the B4000 SST ensures you're never without power.
\n
\nWith its solid-state technology (SST), the B4000 SST is safer, more compact, and lighter than traditional lithium-ion batteries. It comes with two 15-watt wireless charging pads, Wi-Fi and Bluetooth app control, and a 10-port control panel, giving you multiple ways to power your devices simultaneously. The unit also supports Smart Link, allowing you to connect additional batteries and expand capacity for larger needs.
\n
\nPerfect for emergency backup, outdoor activities, and RV use, the B4000 SST offers a quiet, zero-emission solution with no harmful fumes. It can recharge quickly via AC power, solar power, or car charging.
\n
\nKey Features:
\n✅ Solid-State Technology (SST) – Compact, lighter, and safer than traditional lithium-ion batteries
\n✅ 4,000W Continuous/6,000W Peak Power – Powers most home devices, including refrigerators and power tools
\n✅ 2,611Wh Capacity – Long-lasting power for outdoor and emergency use
\n✅ Expandable with Smart Link – Expand capacity by connecting additional batteries (no limits)
\n✅ 11 Ports for Charging – Includes AC, DC, USB-A, USB-C (20W), Type-C PD (100W), and 2 Wireless Charging Pads
\n✅ 3 Ways to Recharge – Fast AC charging (90 minutes), Solar charging (5.5 hours), or Car charging (22 hours)
\n✅ Quiet and Zero Emissions – No gas, no fumes – perfect for quiet operation during outdoor adventures or emergencies
\n✅ Built-In Aluminum Handle – Easy to carry with portability in mind
\n✅ App Control via Wi-Fi/Bluetooth – Remote access for monitoring and control
\n✅ Safety Features – Over-voltage, over-current, overcharging, thermal, and short-circuit protection
\n✅ Up to 2,500 Cycles – Rated to last for 7 years of everyday use
\n
\n🌍 Ideal for outdoor enthusiasts, off-grid living, RV owners, and anyone in need of a reliable, clean power source for emergencies. Get yours today and enjoy reliable power anywhere!",,,taxable,,1,,,0,0,,,,,1,,,,Power Generators,,,"https://flobay.com/wp-content/uploads/2025/08/product-9-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-9-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-9-image-3.png, https://flobay.com/wp-content/uploads/2025/08/product-9-image-4.png, https://flobay.com/wp-content/uploads/2025/08/product-9-image-5.png",,,,,,,,,0,
29454,simple,Pr920192,746988722182.0,"Predator 4400 PSI, 4.2 GPM, 13 HP (420cc) Commercial Duty Pressure Washer EPA",0,0,visible,,"The Predator 4400 PSI, 4.2 GPM Commercial Duty Pressure Washer offers unparalleled cleaning power, perfect for tough cleaning tasks and professional use. Equipped with a 420cc Predator OHV gas engine, it delivers up to 4400 PSI and 4.2 GPM to blast away dirt, grime, and stains on a variety of surfaces. Whether you're cleaning heavy-duty equipment, stripping paint, or washing large areas, this pressure washer provides superior performance and efficiency.
\n
\nThe Annovi Reverberi™ triplex pump features ceramic-coated pistons for enhanced durability and a longer lifespan, ensuring this unit will keep working for years. With five high-pressure quick-connect tips, you can easily adjust the spray pattern to tackle different cleaning jobs. The 50 ft. steel-reinforced high-pressure hose provides excellent reach for larger areas, while the variable pressure control allows you to switch between light cleaning and heavy-duty applications.
\n
\nBuilt to withstand rugged environments, this pressure washer includes 12-inch oversized flat-free tires that can handle tough terrain, and its brass manifold provides reliable performance under heavy-duty conditions.
\n
\nKey Features:
\n✅ 4400 PSI / 4.2 GPM – Powerful performance for heavy-duty cleaning tasks
\n✅ 420cc Predator OHV Engine – Low oil shutdown for engine protection and longevity
\n✅ Annovi Reverberi™ Triplex Pump – Ceramic-coated pistons for extended performance life
\n✅ 50 ft. Steel Reinforced Hose – Durable and long enough for wide area cleaning
\n✅ Five Quick-Connect Spray Tips – Provides a variety of spray patterns for versatile cleaning
\n✅ Variable Pressure Control – Wide range of applications, from light surface cleaning to heavy paint stripping
\n✅ 12” Flat-Free Tires – Durable wheels for navigating rugged terrain with ease
\n✅ Brass Manifold – Ensures long-lasting performance
\n✅ 2x More Cleaning Power – Outperforms other washers in its class
\n
\nIdeal Applications:
\nCommercial and industrial cleaning
\n
\nHeavy-duty surface cleaning
\n
\nPaint stripping and removal
\n
\nWashing vehicles, equipment, and large outdoor areas
\n
\n⚡ The Predator 4400 PSI Pressure Washer is designed for the toughest cleaning jobs, combining power, durability, and ease of use. With its professional-grade components and versatile features, it’s the perfect choice for both residential and commercial cleaning needs.",,,taxable,,1,,,0,0,,,,,1,,,,Power Generators,,,"https://flobay.com/wp-content/uploads/2025/08/product-10-image-1.png, https://flobay.com/wp-content/uploads/2025/08/product-10-image-2.png, https://flobay.com/wp-content/uploads/2025/08/product-10-image-3.png, https://flobay.com/wp-content/uploads/2025/08/product-10-image-4.png, https://flobay.com/wp-content/uploads/2025/08/product-10-image-5.png",,,,,,,,,0,
